NumVertices,Density,QueueTime,ImTime
50,0.25,0.0098075,0.0737984
50,0.25,0.0089468,0.0632446
50,0.25,0.0093505,0.0797554
50,0.25,0.0105278,0.0727502
50,0.25,0.0105602,0.0742207
50,0.25,0.0091306,0.0685703
50,0.25,0.0099917,0.110525
50,0.25,0.0115505,0.0740566
50,0.25,0.0089219,0.0749972
50,0.25,0.010593,0.0784428
50,0.5,0.0098455,0.0530216
50,0.5,0.0088743,0.0795277
50,0.5,0.0118473,0.0662199
50,0.5,0.0103405,0.0612321
50,0.5,0.0091139,0.0934378
50,0.5,0.0101016,0.0670336
50,0.5,0.0089133,0.049201
50,0.5,0.0088623,0.0598379
50,0.5,0.0119393,0.0720685
50,0.5,0.0106505,0.0775545
50,0.75,0.009972,0.0922553
50,0.75,0.0110259,0.0764161
50,0.75,0.0129437,0.0709894
50,0.75,0.0108239,0.0796866
50,0.75,0.0111465,0.0781177
50,0.75,0.0128753,0.0754908
50,0.75,0.0119969,0.0873781
50,0.75,0.0118465,0.0953322
50,0.75,0.0120011,0.0866351
50,0.75,0.0116915,0.0890774
50,1,0.0117087,0.0680796
50,1,0.0106381,0.0767894
50,1,0.0089978,0.0690874
50,1,0.0100227,0.0698058
50,1,0.010027,0.0569838
50,1,0.0111241,0.0653678
50,1,0.0111714,0.0602395
50,1,0.0089982,0.0826834
50,1,0.0102458,0.0780716
50,1,0.0090112,0.066613
100,0.25,0.0493663,0.355212
100,0.25,0.0363553,0.297662
100,0.25,0.044555,0.266246
100,0.25,0.0439027,0.22559
100,0.25,0.0466987,0.268613
100,0.25,0.0447945,0.250702
100,0.25,0.0452013,0.230212
100,0.25,0.0398686,0.314262
100,0.25,0.0401807,0.260688
100,0.25,0.0503991,0.295936
100,0.5,0.0407394,0.252939
100,0.5,0.0405031,0.230942
100,0.5,0.0410315,0.317776
100,0.5,0.0419339,0.313681
100,0.5,0.0418303,0.253854
100,0.5,0.0407937,0.254478
100,0.5,0.0409018,0.235424
100,0.5,0.0417938,0.198133
100,0.5,0.0426949,0.279318
100,0.5,0.0377924,0.351456
100,0.75,0.0388952,0.326615
100,0.75,0.0402519,0.301692
100,0.75,0.0502176,0.26654
100,0.75,0.0436346,0.233103
100,0.75,0.0399325,0.263099
100,0.75,0.0444874,0.215626
100,0.75,0.0367343,0.28091
100,0.75,0.0391734,0.258252
100,0.75,0.0400775,0.310027
100,0.75,0.0378894,0.288662
100,1,0.0401766,0.258786
100,1,0.0387372,0.260324
100,1,0.0391297,0.260457
100,1,0.0394403,0.290498
100,1,0.0444776,0.263256
100,1,0.0435958,0.25861
100,1,0.0416672,0.275018
100,1,0.0412445,0.241819
100,1,0.0424818,0.263568
100,1,0.0418261,0.322774
500,0.25,1.16489,5.31447
500,0.25,1.14085,5.19108
500,0.25,1.15502,5.25377
500,0.25,1.10177,5.13724
500,0.25,1.10745,5.11349
500,0.25,1.10358,5.12276
500,0.25,1.09417,5.19036
500,0.25,1.08715,5.15557
500,0.25,1.11741,5.09522
500,0.25,1.14401,5.19458
500,0.5,1.11241,5.25285
500,0.5,1.12952,5.13496
500,0.5,1.20831,5.20069
500,0.5,1.10919,5.29472
500,0.5,1.15119,5.3092
500,0.5,1.11747,5.19579
500,0.5,1.13095,6.045
500,0.5,1.12989,5.12925
500,0.5,1.12394,5.2291
500,0.5,1.17764,5.50527
500,0.75,1.21064,5.32841
500,0.75,1.17366,5.49243
500,0.75,1.12642,5.32167
500,0.75,1.10122,5.26331
500,0.75,1.30944,5.3243
500,0.75,1.18506,5.41766
500,0.75,1.12071,5.46738
500,0.75,1.28929,5.34758
500,0.75,1.15713,5.21335
500,0.75,1.17091,5.25725
500,1,1.14119,5.20079
500,1,1.13435,5.22771
500,1,1.16885,5.29019
500,1,1.13681,5.2245
500,1,1.13915,5.40519
500,1,1.1404,5.30015
500,1,1.19646,5.35565
500,1,1.1583,5.45427
500,1,1.19852,5.35245
500,1,1.08233,5.26951
